framework,method,budget,best_mean,best_std,best_n,final_mean,final_std,final_n,best_se,final_se,best_ci95,final_ci95,best_mean_pm_std,final_mean_pm_std
fully_supervised,random,10,0.15646666666666667,0.02480430070236477,3,0.15646666666666667,0.02480430070236477,3,0.014320769687570723,0.014320769687570723,0.028068708587638616,0.028068708587638616,15.65 $\pm$ 2.48,15.65 $\pm$ 2.48
fully_supervised,tpcinv,10,0.10266666666666667,0.004277070648625447,3,0.10266666666666667,0.004277070648625447,3,0.002469367890326949,0.002469367890326949,0.00483996106504082,0.00483996106504082,10.27 $\pm$ 0.43,10.27 $\pm$ 0.43
fully_supervised,tpcnoclust,10,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,10,0.14906666666666665,0.006504101270224305,3,0.14906666666666665,0.006504101270224305,3,0.0037551446192005894,0.0037551446192005894,0.007360083453633155,0.007360083453633155,14.91 $\pm$ 0.65,14.91 $\pm$ 0.65
fully_supervised,tpcrp,10,0.14946666666666666,0.009669712163934007,3,0.14946666666666666,0.009669712163934007,3,0.0055828109208334985,0.0055828109208334985,0.010942309404833657,0.010942309404833657,14.95 $\pm$ 0.97,14.95 $\pm$ 0.97
fully_supervised,tpcrp_ccfl,10,0.165,0.005230678732248834,3,0.165,0.005230678732248834,3,0.003019933774108315,0.003019933774108315,0.005919070197252297,0.005919070197252297,16.50 $\pm$ 0.52,16.50 $\pm$ 0.52
fully_supervised,random,20,0.17183333333333337,0.003536005279030749,3,0.17183333333333337,0.003536005279030749,3,0.002041513599704341,0.002041513599704341,0.004001366655420508,0.004001366655420508,17.18 $\pm$ 0.35,17.18 $\pm$ 0.35
fully_supervised,tpcinv,20,0.129,0.016044936896105262,3,0.129,0.016044936896105262,3,0.009263548636096932,0.009263548636096932,0.018156555326749986,0.018156555326749986,12.90 $\pm$ 1.60,12.90 $\pm$ 1.60
fully_supervised,tpcnoclust,20,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,20,0.1741,0.015200986810072566,3,0.1741,0.015200986810072566,3,0.008776293826743347,0.008776293826743347,0.01720153590041696,0.01720153590041696,17.41 $\pm$ 1.52,17.41 $\pm$ 1.52
fully_supervised,tpcrp,20,0.19096666666666665,0.0038552993831002585,3,0.19096666666666665,0.0038552993831002585,3,0.0022258581366395324,0.0022258581366395324,0.004362681947813483,0.004362681947813483,19.10 $\pm$ 0.39,19.10 $\pm$ 0.39
fully_supervised,tpcrp_ccfl,20,0.19616666666666668,0.007800854654032034,3,0.19616666666666668,0.007800854654032034,3,0.00450382553441454,0.00450382553441454,0.008827498047452498,0.008827498047452498,19.62 $\pm$ 0.78,19.62 $\pm$ 0.78
fully_supervised,random,50,0.18283333333333332,0.016006977645181275,3,0.18283333333333332,0.016006977645181275,3,0.009241632852357731,0.009241632852357731,0.01811360039062115,0.01811360039062115,18.28 $\pm$ 1.60,18.28 $\pm$ 1.60
fully_supervised,tpcinv,50,0.16906666666666667,0.014305709815781024,3,0.16906666666666667,0.014305709815781024,3,0.008259405413089846,0.008259405413089846,0.016188434609656098,0.016188434609656098,16.91 $\pm$ 1.43,16.91 $\pm$ 1.43
fully_supervised,tpcnoclust,50,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,50,0.21753333333333336,0.019247424070075816,3,0.21753333333333336,0.019247424070075816,3,0.011112505468065156,0.011112505468065156,0.021780510717407706,0.021780510717407706,21.75 $\pm$ 1.92,21.75 $\pm$ 1.92
