method,budget,seed,best_epoch,best_test_accuracy,final_test_accuracy,final_test_loss,num_selected
tpcrp,20,46,49,0.1917,0.1917,7.90688857421875,20
random,30,46,42,0.1779,0.1779,9.369687643432616,30
tpcrand,30,46,50,0.1711,0.1711,9.819768716430664,30
tpcrp,30,46,47,0.2147,0.2147,5.69878072052002,30
random,50,46,48,0.1898,0.1898,7.942623421478271,50
tpcrand,50,46,33,0.1817,0.1817,8.563796627807617,50
tpcrp,50,46,48,0.2446,0.2446,5.1969522216796875,50
random,100,46,30,0.2237,0.2237,5.790145355987549,100
tpcrand,100,46,40,0.2203,0.2203,5.003665115356445,100
tpcrp,100,46,42,0.2905,0.2905,4.4858643966674805,100
random,150,46,47,0.2733,0.2733,3.1589494846343995,150
tpcrand,150,46,32,0.2359,0.2359,3.2077274574279784,150
tpcrp,150,46,38,0.3018,0.3018,3.1296739013671875,150
random,200,46,32,0.2332,0.2332,3.1921879402160647,200
tpcrand,200,46,46,0.2373,0.2373,2.2536352699279787,200
tpcrp,200,46,44,0.2904,0.2904,2.1031666440963743,200
random,10,47,30,0.1338,0.1338,45.340226818847654,10
tpcrand,10,47,50,0.1385,0.1385,17.98532177886963,10
tpcrp,10,47,37,0.1438,0.1438,16.33383459777832,10
random,20,47,50,0.1875,0.1875,8.750760985565185,20
tpcrand,20,47,46,0.176,0.176,8.434105354309082,20
tpcrp,20,47,40,0.1985,0.1985,7.911513582611084,20
random,30,47,49,0.1579,0.1579,9.182158205413819,30
tpcrand,30,47,50,0.2132,0.2132,7.4765709732055665,30
tpcrp,30,47,49,0.209,0.209,6.0540803443908695,30
random,50,47,42,0.2159,0.2159,6.8952162590026855,50
tpcrand,50,47,49,0.2212,0.2212,5.738831048583984,50
tpcrp,50,47,33,0.2465,0.2465,5.40992250213623,50
random,100,47,28,0.2493,0.2493,4.281379502105713,100
tpcrand,100,47,49,0.2383,0.2383,4.828920460510254,100
tpcrp,100,47,32,0.2709,0.2709,4.493995217132569,100
random,150,47,41,0.2819,0.2819,3.2972333930969238,150
tpcrand,150,47,36,0.2527,0.2527,3.1244151958465576,150
tpcrp,150,47,50,0.329,0.329,3.325897762298584,150
random,200,47,40,0.227,0.227,2.2566127601623536,200
tpcrand,200,47,35,0.2176,0.2176,2.5850816158294676,200
tpcrp,200,47,49,0.2977,0.2977,2.2650237451553346,200
random,10,48,18,0.12,0.12,182.00563468017577,10
tpcrand,10,48,39,0.1376,0.1376,37.548653271484376,10
tpcrp,10,48,50,0.1586,0.1586,11.521294198608398,10
random,20,48,49,0.1363,0.1363,10.914662774658202,20
tpcrand,20,48,42,0.2096,0.2096,7.932368285369873,20
tpcrp,20,48,50,0.1846,0.1846,8.82727041015625,20
random,30,48,39,0.1753,0.1753,15.591217060089111,30
tpcrand,30,48,50,0.1734,0.1734,8.228255717468262,30
tpcrp,30,48,46,0.2006,0.2006,6.583329790496826,30
random,50,48,49,0.2007,0.2007,5.4467828086853025,50
tpcrand,50,48,46,0.2306,0.2306,5.45798182182312,50
tpcrp,50,48,48,0.2185,0.2185,6.365651988220215,50
random,100,48,48,0.2236,0.2236,4.374546792602539,100
tpcrand,100,48,48,0.2423,0.2423,4.618927458190918,100
tpcrp,100,48,49,0.2853,0.2853,4.6123556091308595,100
random,150,48,50,0.273,0.273,3.253914237213135,150
tpcrand,150,48,38,0.2724,0.2724,3.427412511062622,150
tpcrp,150,48,40,0.3138,0.3138,3.6700622871398925,150
random,200,48,43,0.2332,0.2332,2.363497147369385,200
tpcrand,200,48,40,0.229,0.229,2.5015636848449705,200
tpcrp,200,48,47,0.2883,0.2883,2.148072328186035,200
random,10,49,38,0.1588,0.1588,38.75305703125,10
tpcrand,10,49,37,0.1726,0.1726,26.43592774658203,10
tpcrp,10,49,44,0.1575,0.1575,11.59771016845703,10
random,20,49,50,0.1726,0.1726,9.116232501220702,20
tpcrand,20,49,25,0.156,0.156,45.779615618896486,20
tpcrp,20,49,50,0.1975,0.1975,9.012873440551758,20
random,30,49,46,0.1994,0.1994,9.751391615295411,30
tpcrand,30,49,47,0.1691,0.1691,7.100777157592773,30
tpcrp,30,49,50,0.2081,0.2081,5.776366253662109,30
random,50,49,50,0.1741,0.1741,7.3247823112487795,50
tpcrand,50,49,50,0.1821,0.1821,6.390063417053223,50
tpcrp,50,49,47,0.2562,0.2562,4.807258604431152,50
random,100,49,25,0.2109,0.2109,5.823763482666016,100
tpcrand,100,49,34,0.2467,0.2467,4.332125918579101,100
tpcrp,100,49,43,0.2604,0.2604,4.843127300262451,100
random,150,49,46,0.2615,0.2615,3.50901873550415,150
tpcrand,150,49,35,0.2567,0.2567,3.5846907215118406,150
tpcrp,150,49,48,0.297,0.297,3.047838525390625,150
random,200,49,48,0.2302,0.2302,2.14009248046875,200
tpcrand,200,49,34,0.2375,0.2375,2.537166633605957,200
tpcrp,200,49,43,0.2944,0.2944,2.1462540798187257,200
random,10,50,49,0.1567,0.1567,14.619268356323243,10
tpcrand,10,50,42,0.1497,0.1497,18.438714221191407,10
tpcrp,10,50,49,0.1547,0.1547,12.157350575256348,10
random,20,50,41,0.1572,0.1572,13.27861695098877,20
tpcrand,20,50,49,0.1948,0.1948,7.9736925369262694,20
tpcrp,20,50,49,0.2056,0.2056,8.000548638916015,20
random,30,50,49,0.1902,0.1902,8.78338748626709,30
tpcrand,30,50,49,0.1852,0.1852,7.684576414489746,30
tpcrp,30,50,50,0.2092,0.2092,6.274269899749756,30
random,50,50,41,0.1813,0.1813,7.102300356292725,50
tpcrand,50,50,42,0.2018,0.2018,5.437761388397217,50
tpcrp,50,50,49,0.2452,0.2452,5.438408329010009,50
random,100,50,49,0.2432,0.2432,4.767285795593262,100
tpcrand,100,50,26,0.2299,0.2299,4.227004347991944,100
tpcrp,100,50,38,0.2613,0.2613,4.697086991119384,100
random,150,50,34,0.281,0.281,3.0254346824645997,150
tpcrand,150,50,50,0.2775,0.2775,3.6675592224121094,150
tpcrp,150,50,34,0.3127,0.3127,2.768628726196289,150
random,200,50,50,0.2597,0.2597,2.3670104118347166,200
tpcrand,200,50,29,0.241,0.241,2.1964058265686037,200
tpcrp,200,50,45,0.2994,0.2994,2.1571997983932496,200
