budget,method_a,method_b,mean_a,mean_b,mean_diff,t_stat,t_p_value,wilcoxon_stat,wilcoxon_p_value,cohens_dz,n_pairs,framework
10,tpcrp,random,0.14946666666666666,0.15646666666666667,-0.006999999999999997,-0.779495845132509,0.5172834692853993,1.0,0.5,-0.45004213601944887,3,fully_supervised
10,tpcrp,tpcrand,0.14946666666666666,0.14906666666666665,0.0004000000000000022,0.06869716129873508,0.9514809816187633,3.0,1.0,0.03966232456838784,3,fully_supervised
10,tpcrp_ccfl,tpcrp,0.165,0.14946666666666666,0.015533333333333335,5.021796643461167,0.037440699382394096,0.0,0.25,2.8993356439178637,3,fully_supervised
20,tpcrp,random,0.19096666666666665,0.17183333333333337,0.019133333333333318,5.118272001077467,0.03611736468954972,0.0,0.25,2.9550357176078,3,fully_supervised
20,tpcrp,tpcrand,0.19096666666666665,0.1741,0.01686666666666666,2.171613819084366,0.16202652177013174,0.0,0.25,1.2537818230242699,3,fully_supervised
20,tpcrp_ccfl,tpcrp,0.19616666666666668,0.19096666666666665,0.00520000000000002,1.6279171790107803,0.24508076654683245,0.0,0.25,0.9398784215202901,3,fully_supervised
50,tpcrp,random,0.23183333333333334,0.18283333333333332,0.048999999999999995,5.753964555687503,0.028901085168739838,0.0,0.25,3.3220529851337446,3,fully_supervised
50,tpcrp,tpcrand,0.23183333333333334,0.21753333333333336,0.014299999999999998,1.4341410854931749,0.287963617536306,1.0,0.5,0.8280017417653867,3,fully_supervised
50,tpcrp_ccfl,tpcrp,0.2282,0.23183333333333334,-0.0036333333333333404,-0.5306854449725161,0.6486703130128401,2.0,0.75,-0.3063913845098985,3,fully_supervised
100,tpcrp,random,0.3006333333333333,0.2563,0.044333333333333336,7.931715906690992,0.01552597210794941,0.0,0.25,4.57937831386368,3,fully_supervised
100,tpcrp,tpcrand,0.3006333333333333,0.28143333333333337,0.019199999999999978,1.6585448644988356,0.23906918395541232,1.0,0.5,0.957561323981474,3,fully_supervised
100,tpcrp_ccfl,tpcrp,0.2875666666666667,0.3006333333333333,-0.013066666666666652,-1.250903159358162,0.3374653144490566,1.0,0.5,-0.7222092757855882,3,fully_supervised
200,tpcrp,random,0.3391,0.2888,0.05029999999999999,2.216712400010486,0.1569554812081258,0.0,0.25,1.2798195008620354,3,fully_supervised
200,tpcrp,tpcrand,0.3391,0.28269999999999995,0.056400000000000006,3.276339146093542,0.08187959863214224,0.0,0.25,1.8915952879536146,3,fully_supervised
200,tpcrp_ccfl,tpcrp,0.3151,0.3391,-0.024000000000000004,-1.6548838345599235,0.23977765172081406,0.0,0.25,-0.955447627360732,3,fully_supervised
10,tpcrp,random,0.365,0.2837,0.08129999999999998,4.99381101753611,0.037837930679785046,0.0,0.25,2.883178135256592,3,semi_supervised
10,tpcrp,tpcrand,0.365,0.24586666666666668,0.11913333333333331,5.880222484422512,0.02772387942243037,0.0,0.25,3.3949480342762275,3,semi_supervised
10,tpcrp_ccfl,tpcrp,0.4328,0.365,0.06780000000000003,inf,0.0,0.0,0.25,,3,semi_supervised
