framework,method,budget,best_mean,best_std,best_n,final_mean,final_std,final_n,best_se,final_se,best_ci95,final_ci95,best_mean_pm_std,final_mean_pm_std
fully_supervised,badge,10,0.14646666666666666,0.021106949882286005,3,0.14646666666666666,0.021106949882286005,3,0.012186103196309766,0.012186103196309766,0.02388476226476714,0.02388476226476714,14.65 $\pm$ 2.11,14.65 $\pm$ 2.11
fully_supervised,bald,10,0.15416666666666667,0.014953706341015715,3,0.15416666666666667,0.014953706341015715,3,0.008633526381368037,0.008633526381368037,0.01692171170748135,0.01692171170748135,15.42 $\pm$ 1.50,15.42 $\pm$ 1.50
fully_supervised,dbal,10,0.1323,0.006128621378417826,3,0.1323,0.006128621378417826,3,0.003538361202590827,0.003538361202590827,0.006935187957078021,0.006935187957078021,13.23 $\pm$ 0.61,13.23 $\pm$ 0.61
fully_supervised,entropy,10,0.13066666666666668,0.010165792312128628,3,0.13066666666666668,0.010165792312128628,3,0.005869222927933292,0.005869222927933292,0.011503676938749253,0.011503676938749253,13.07 $\pm$ 1.02,13.07 $\pm$ 1.02
fully_supervised,kcenter,10,0.15836666666666668,0.006709942871093115,3,0.15836666666666668,0.006709942871093115,3,0.0038739873228726207,0.0038739873228726207,0.007593015152830337,0.007593015152830337,15.84 $\pm$ 0.67,15.84 $\pm$ 0.67
fully_supervised,margin,10,0.1472,0.020611404610069644,3,0.1472,0.020611404610069644,3,0.011900000000000003,0.011900000000000003,0.023324000000000004,0.023324000000000004,14.72 $\pm$ 2.06,14.72 $\pm$ 2.06
fully_supervised,random,10,0.15646666666666667,0.02480430070236477,3,0.15646666666666667,0.02480430070236477,3,0.014320769687570723,0.014320769687570723,0.028068708587638616,0.028068708587638616,15.65 $\pm$ 2.48,15.65 $\pm$ 2.48
fully_supervised,tpcinv,10,0.10266666666666667,0.004277070648625447,3,0.10266666666666667,0.004277070648625447,3,0.002469367890326949,0.002469367890326949,0.00483996106504082,0.00483996106504082,10.27 $\pm$ 0.43,10.27 $\pm$ 0.43
fully_supervised,tpcnoclust,10,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,10,0.14906666666666665,0.006504101270224305,3,0.14906666666666665,0.006504101270224305,3,0.0037551446192005894,0.0037551446192005894,0.007360083453633155,0.007360083453633155,14.91 $\pm$ 0.65,14.91 $\pm$ 0.65
fully_supervised,tpcrp,10,0.14946666666666666,0.009669712163934007,3,0.14946666666666666,0.009669712163934007,3,0.0055828109208334985,0.0055828109208334985,0.010942309404833657,0.010942309404833657,14.95 $\pm$ 0.97,14.95 $\pm$ 0.97
fully_supervised,tpcrp_ccfl,10,0.165,0.005230678732248834,3,0.165,0.005230678732248834,3,0.003019933774108315,0.003019933774108315,0.005919070197252297,0.005919070197252297,16.50 $\pm$ 0.52,16.50 $\pm$ 0.52
fully_supervised,uncertainty,10,0.14756666666666665,0.015114341974870531,3,0.14756666666666665,0.015114341974870531,3,0.008726269407815561,0.008726269407815561,0.0171034880393185,0.0171034880393185,14.76 $\pm$ 1.51,14.76 $\pm$ 1.51
fully_supervised,badge,20,0.18423333333333333,0.020698389631402088,3,0.18423333333333333,0.020698389631402088,3,0.011950220825481755,0.011950220825481755,0.02342243281794424,0.02342243281794424,18.42 $\pm$ 2.07,18.42 $\pm$ 2.07
fully_supervised,bald,20,0.1738666666666667,0.01252889992510649,3,0.1738666666666667,0.01252889992510649,3,0.007233563744410114,0.007233563744410114,0.014177784939043824,0.014177784939043824,17.39 $\pm$ 1.25,17.39 $\pm$ 1.25
fully_supervised,dbal,20,0.1669333333333333,0.01873294780148958,3,0.1669333333333333,0.01873294780148958,3,0.010815472455905218,0.010815472455905218,0.021198326013574225,0.021198326013574225,16.69 $\pm$ 1.87,16.69 $\pm$ 1.87
fully_supervised,entropy,20,0.1859333333333333,0.031935142607061165,3,0.1859333333333333,0.031935142607061165,3,0.018437763180795853,0.018437763180795853,0.036138015834359875,0.036138015834359875,18.59 $\pm$ 3.19,18.59 $\pm$ 3.19
fully_supervised,kcenter,20,0.16990000000000002,0.015908488300275418,3,0.16990000000000002,0.015908488300275418,3,0.009184770002564025,0.009184770002564025,0.018002149205025488,0.018002149205025488,16.99 $\pm$ 1.59,16.99 $\pm$ 1.59
fully_supervised,margin,20,0.17936666666666667,0.034666458332707324,3,0.17936666666666667,0.034666458332707324,3,0.02001468905023952,0.02001468905023952,0.039228790538469456,0.039228790538469456,17.94 $\pm$ 3.47,17.94 $\pm$ 3.47
fully_supervised,random,20,0.17183333333333337,0.003536005279030749,3,0.17183333333333337,0.003536005279030749,3,0.002041513599704341,0.002041513599704341,0.004001366655420508,0.004001366655420508,17.18 $\pm$ 0.35,17.18 $\pm$ 0.35
fully_supervised,tpcinv,20,0.129,0.016044936896105262,3,0.129,0.016044936896105262,3,0.009263548636096932,0.009263548636096932,0.018156555326749986,0.018156555326749986,12.90 $\pm$ 1.60,12.90 $\pm$ 1.60
fully_supervised,tpcnoclust,20,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,20,0.1741,0.015200986810072566,3,0.1741,0.015200986810072566,3,0.008776293826743347,0.008776293826743347,0.01720153590041696,0.01720153590041696,17.41 $\pm$ 1.52,17.41 $\pm$ 1.52
fully_supervised,tpcrp,20,0.19096666666666665,0.0038552993831002585,3,0.19096666666666665,0.0038552993831002585,3,0.0022258581366395324,0.0022258581366395324,0.004362681947813483,0.004362681947813483,19.10 $\pm$ 0.39,19.10 $\pm$ 0.39
fully_supervised,tpcrp_ccfl,20,0.19616666666666668,0.007800854654032034,3,0.19616666666666668,0.007800854654032034,3,0.00450382553441454,0.00450382553441454,0.008827498047452498,0.008827498047452498,19.62 $\pm$ 0.78,19.62 $\pm$ 0.78
fully_supervised,uncertainty,20,0.18533333333333335,0.01740756540511432,3,0.18533333333333335,0.01740756540511432,3,0.01005026257257877,0.01005026257257877,0.01969851464225439,0.01969851464225439,18.53 $\pm$ 1.74,18.53 $\pm$ 1.74
fully_supervised,badge,50,0.2083,0.02139789709293883,3,0.2083,0.02139789709293883,3,0.012354081646700144,0.012354081646700144,0.02421400002753228,0.02421400002753228,20.83 $\pm$ 2.14,20.83 $\pm$ 2.14
fully_supervised,bald,50,0.2067,0.01504426801143879,3,0.2067,0.01504426801143879,3,0.008685812186165062,0.008685812186165062,0.01702419188488352,0.01702419188488352,20.67 $\pm$ 1.50,20.67 $\pm$ 1.50
fully_supervised,dbal,50,0.18106666666666668,0.00845596436447867,3,0.18106666666666668,0.00845596436447867,3,0.004882053302089643,0.004882053302089643,0.009568824472095701,0.009568824472095701,18.11 $\pm$ 0.85,18.11 $\pm$ 0.85
fully_supervised,entropy,50,0.18610000000000002,0.014250263155464887,3,0.18610000000000002,0.014250263155464887,3,0.008227393268830659,0.008227393268830659,0.01612569080690809,0.01612569080690809,18.61 $\pm$ 1.43,18.61 $\pm$ 1.43
fully_supervised,kcenter,50,0.2083,0.014233411397131742,3,0.2083,0.014233411397131742,3,0.008217663901620698,0.008217663901620698,0.01610662124717657,0.01610662124717657,20.83 $\pm$ 1.42,20.83 $\pm$ 1.42
fully_supervised,margin,50,0.1980666666666667,0.013092873379565424,3,0.1980666666666667,0.013092873379565424,3,0.007559173970157783,0.007559173970157783,0.014815980981509254,0.014815980981509254,19.81 $\pm$ 1.31,19.81 $\pm$ 1.31
fully_supervised,random,50,0.18283333333333332,0.016006977645181275,3,0.18283333333333332,0.016006977645181275,3,0.009241632852357731,0.009241632852357731,0.01811360039062115,0.01811360039062115,18.28 $\pm$ 1.60,18.28 $\pm$ 1.60
fully_supervised,tpcinv,50,0.16906666666666667,0.014305709815781024,3,0.16906666666666667,0.014305709815781024,3,0.008259405413089846,0.008259405413089846,0.016188434609656098,0.016188434609656098,16.91 $\pm$ 1.43,16.91 $\pm$ 1.43
fully_supervised,tpcnoclust,50,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,50,0.21753333333333336,0.019247424070075816,3,0.21753333333333336,0.019247424070075816,3,0.011112505468065156,0.011112505468065156,0.021780510717407706,0.021780510717407706,21.75 $\pm$ 1.92,21.75 $\pm$ 1.92
fully_supervised,tpcrp,50,0.23183333333333334,0.008851176946222093,3,0.23183333333333334,0.008851176946222093,3,0.005110229392546335,0.005110229392546335,0.010016049609390816,0.010016049609390816,23.18 $\pm$ 0.89,23.18 $\pm$ 0.89
fully_supervised,tpcrp_ccfl,50,0.2282,0.003117691453623986,3,0.2282,0.003117691453623986,3,0.001800000000000004,0.001800000000000004,0.003528000000000008,0.003528000000000008,22.82 $\pm$ 0.31,22.82 $\pm$ 0.31
fully_supervised,uncertainty,50,0.1854,0.013992497989994501,3,0.1854,0.013992497989994501,3,0.008078572481158623,0.008078572481158623,0.0158340020630709,0.0158340020630709,18.54 $\pm$ 1.40,18.54 $\pm$ 1.40
fully_supervised,badge,100,0.26916666666666667,0.009440515522646731,3,0.26916666666666667,0.009440515522646731,3,0.005450484178288932,0.005450484178288932,0.010682948989446306,0.010682948989446306,26.92 $\pm$ 0.94,26.92 $\pm$ 0.94
fully_supervised,bald,100,0.236,0.006428063471995274,3,0.236,0.006428063471995274,3,0.003711244175924472,0.003711244175924472,0.0072740385848119645,0.0072740385848119645,23.60 $\pm$ 0.64,23.60 $\pm$ 0.64
fully_supervised,dbal,100,0.2531,0.024301440286534456,3,0.2531,0.024301440286534456,3,0.014030443091126285,0.014030443091126285,0.027499668458607518,0.027499668458607518,25.31 $\pm$ 2.43,25.31 $\pm$ 2.43
fully_supervised,entropy,100,0.2473,0.01210123960592468,3,0.2473,0.01210123960592468,3,0.0069866539440087755,0.0069866539440087755,0.0136938417302572,0.0136938417302572,24.73 $\pm$ 1.21,24.73 $\pm$ 1.21
fully_supervised,kcenter,100,0.2672666666666667,0.003906831623366104,3,0.2672666666666667,0.003906831623366104,3,0.002255610289428963,0.002255610289428963,0.004420996167280767,0.004420996167280767,26.73 $\pm$ 0.39,26.73 $\pm$ 0.39
fully_supervised,margin,100,0.2589,0.014305243793798127,3,0.2589,0.014305243793798127,3,0.008259136355172572,0.008259136355172572,0.01618790725613824,0.01618790725613824,25.89 $\pm$ 1.43,25.89 $\pm$ 1.43
fully_supervised,random,100,0.2563,0.007621679604916476,3,0.2563,0.007621679604916476,3,0.004400378771575609,0.004400378771575609,0.008624742392288193,0.008624742392288193,25.63 $\pm$ 0.76,25.63 $\pm$ 0.76
fully_supervised,tpcinv,100,0.2001666666666667,0.014392474885624533,3,0.2001666666666667,0.014392474885624533,3,0.008309499249520253,0.008309499249520253,0.016286618529059695,0.016286618529059695,20.02 $\pm$ 1.44,20.02 $\pm$ 1.44
fully_supervised,tpcnoclust,100,0.10000000000000002,0.0,3,0.10000000000000002,0.0,3,0.0,0.0,0.0,0.0,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00
fully_supervised,tpcrand,100,0.28143333333333337,0.012989354615735662,3,0.28143333333333337,0.012989354615735662,3,0.007499407383994493,0.007499407383994493,0.014698838472629205,0.014698838472629205,28.14 $\pm$ 1.30,28.14 $\pm$ 1.30
fully_supervised,tpcrp,100,0.3006333333333333,0.0133387905498712,3,0.3006333333333333,0.0133387905498712,3,0.0077011543146321745,0.0077011543146321745,0.015094262456679062,0.015094262456679062,30.06 $\pm$ 1.33,30.06 $\pm$ 1.33
fully_supervised,tpcrp_ccfl,100,0.2875666666666667,0.007245918391296839,3,0.2875666666666667,0.007245918391296839,3,0.004183432933741291,0.004183432933741291,0.00819952855013293,0.00819952855013293,28.76 $\pm$ 0.72,28.76 $\pm$ 0.72
fully_supervised,uncertainty,100,0.253,0.017670597047072283,3,0.253,0.017670597047072283,3,0.010202123961868589,0.010202123961868589,0.019996162965262434,0.019996162965262434,25.30 $\pm$ 1.77,25.30 $\pm$ 1.77
fully_supervised,badge,200,0.2905666666666667,0.011282877883471647,3,0.2905666666666667,0.011282877883471647,3,0.006514172583256031,0.006514172583256031,0.01276777826318182,0.01276777826318182,29.06 $\pm$ 1.13,29.06 $\pm$ 1.13
fully_supervised,bald,200,0.2557333333333333,0.014368484030451274,3,0.2557333333333333,0.014368484030451274,3,0.008295648122827882,0.008295648122827882,0.01625947032074265,0.01625947032074265,25.57 $\pm$ 1.44,25.57 $\pm$ 1.44
fully_supervised,dbal,200,0.2338,0.0308199610642194,3,0.2338,0.0308199610642194,3,0.017793912816840857,0.017793912816840857,0.03487606912100808,0.03487606912100808,23.38 $\pm$ 3.08,23.38 $\pm$ 3.08
fully_supervised,entropy,200,0.25853333333333334,0.019276496915501363,3,0.25853333333333334,0.019276496915501363,3,0.011129290683197703,0.011129290683197703,0.021813409739067497,0.021813409739067497,25.85 $\pm$ 1.93,25.85 $\pm$ 1.93
fully_supervised,kcenter,200,0.2639666666666667,0.018487923986573868,3,0.2639666666666667,0.018487923986573868,3,0.010674007890405762,0.010674007890405762,0.020921055465195293,0.020921055465195293,26.40 $\pm$ 1.85,26.40 $\pm$ 1.85
fully_supervised,margin,200,0.2596,0.011307961796893364,3,0.2596,0.011307961796893364,3,0.006528654787422389,0.006528654787422389,0.012796163383347882,0.012796163383347882,25.96 $\pm$ 1.13,25.96 $\pm$ 1.13
fully_supervised,random,200,0.2888,0.02022152318694119,3,0.2888,0.02022152318694119,3,0.011674901855404755,0.011674901855404755,0.02288280763659332,0.02288280763659332,28.88 $\pm$ 2.02,28.88 $\pm$ 2.02
fully_supervised,tpcinv,200,0.20756666666666668,0.009839884823174187,3,0.20756666666666668,0.009839884823174187,3,0.00568106015145453,0.00568106015145453,0.01113487789685088,0.01113487789685088,20.76 $\pm$ 0.98,20.76 $\pm$ 0.98
fully_supervised,tpcnoclust,200,0.18623333333333333,0.010407849601782935,3,0.18623333333333333,0.010407849601782935,3,0.006008974769274517,0.006008974769274517,0.011777590547778053,0.011777590547778053,18.62 $\pm$ 1.04,18.62 $\pm$ 1.04
fully_supervised,tpcrand,200,0.2827,0.009796427920420804,3,0.2827,0.009796427920420804,3,0.005655970296951717,0.005655970296951717,0.011085701782025366,0.011085701782025366,28.27 $\pm$ 0.98,28.27 $\pm$ 0.98
fully_supervised,tpcrp,200,0.3391,0.023297424750388214,3,0.3391,0.023297424750388214,3,0.013450774451061687,0.013450774451061687,0.026363517924080905,0.026363517924080905,33.91 $\pm$ 2.33,33.91 $\pm$ 2.33
fully_supervised,tpcrp_ccfl,200,0.3151,0.03005411785429748,3,0.3151,0.03005411785429748,3,0.01735175303343539,0.01735175303343539,0.034009435945533364,0.034009435945533364,31.51 $\pm$ 3.01,31.51 $\pm$ 3.01
fully_supervised,uncertainty,200,0.2509333333333333,0.03546622806746347,3,0.2509333333333333,0.03546622806746347,3,0.020476436321890695,0.020476436321890695,0.04013381519090576,0.04013381519090576,25.09 $\pm$ 3.55,25.09 $\pm$ 3.55
semi_supervised,badge,10,0.20696666666666666,0.0043935558871298465,3,0.20696666666666666,0.0043935558871298465,3,0.002536620674134082,0.002536620674134082,0.004971776521302801,0.004971776521302801,20.70 $\pm$ 0.44,20.70 $\pm$ 0.44
semi_supervised,bald,10,0.16476666666666664,0.01062136212231431,3,0.16476666666666664,0.01062136212231431,3,0.006132246280478662,0.006132246280478662,0.012019202709738178,0.012019202709738178,16.48 $\pm$ 1.06,16.48 $\pm$ 1.06
semi_supervised,dbal,10,0.2438,0.053615949119641626,3,0.2438,0.053615949119641626,3,0.030955182657082372,0.030955182657082372,0.06067215800788145,0.06067215800788145,24.38 $\pm$ 5.36,24.38 $\pm$ 5.36
semi_supervised,entropy,10,0.17003333333333334,0.008339264555902576,3,0.17003333333333334,0.008339264555902576,3,0.0048146766361938575,0.0048146766361938575,0.009436766206939961,0.009436766206939961,17.00 $\pm$ 0.83,17.00 $\pm$ 0.83
semi_supervised,kcenter,10,0.156,0.0,3,0.156,0.0,3,0.0,0.0,0.0,0.0,15.60 $\pm$ 0.00,15.60 $\pm$ 0.00
semi_supervised,margin,10,0.254,0.008207313811473282,3,0.254,0.008207313811473282,3,0.004738494838377833,0.004738494838377833,0.009287449883220552,0.009287449883220552,25.40 $\pm$ 0.82,25.40 $\pm$ 0.82
semi_supervised,random,10,0.2837,0.02819804957794069,3,0.2837,0.02819804957794069,3,0.01628015151444647,0.01628015151444647,0.031909096968315086,0.031909096968315086,28.37 $\pm$ 2.82,28.37 $\pm$ 2.82
semi_supervised,tpcinv,10,0.1045,0.004503332099679082,3,0.1045,0.004503332099679082,3,0.0026000000000000007,0.0026000000000000007,0.005096000000000002,0.005096000000000002,10.45 $\pm$ 0.45,10.45 $\pm$ 0.45
semi_supervised,tpcnoclust,10,0.1077,0.0,3,0.1077,0.0,3,0.0,0.0,0.0,0.0,10.77 $\pm$ 0.00,10.77 $\pm$ 0.00
semi_supervised,tpcrand,10,0.24586666666666668,0.035091356960558456,3,0.24586666666666668,0.035091356960558456,3,0.020260004387407674,0.020260004387407674,0.03970960859931904,0.03970960859931904,24.59 $\pm$ 3.51,24.59 $\pm$ 3.51
semi_supervised,tpcrp,10,0.365,0.0,3,0.365,0.0,3,0.0,0.0,0.0,0.0,36.50 $\pm$ 0.00,36.50 $\pm$ 0.00
semi_supervised,tpcrp_ccfl,10,0.4328,0.0,3,0.4328,0.0,3,0.0,0.0,0.0,0.0,43.28 $\pm$ 0.00,43.28 $\pm$ 0.00
semi_supervised,uncertainty,10,0.254,0.008207313811473282,3,0.254,0.008207313811473282,3,0.004738494838377833,0.004738494838377833,0.009287449883220552,0.009287449883220552,25.40 $\pm$ 0.82,25.40 $\pm$ 0.82
semi_supervised,badge,20,0.3756333333333333,0.02826611634684422,3,0.3756333333333333,0.02826611634684422,3,0.016319449881795792,0.016319449881795792,0.031986121768319754,0.031986121768319754,37.56 $\pm$ 2.83,37.56 $\pm$ 2.83
semi_supervised,bald,20,0.26803333333333335,0.04820968090885205,3,0.26803333333333335,0.04820968090885205,3,0.02783387225027169,0.02783387225027169,0.054554389610532515,0.054554389610532515,26.80 $\pm$ 4.82,26.80 $\pm$ 4.82
semi_supervised,dbal,20,0.4075666666666667,0.01721055877458175,3,0.4075666666666667,0.01721055877458175,3,0.00993652074140865,0.00993652074140865,0.019475580653160955,0.019475580653160955,40.76 $\pm$ 1.72,40.76 $\pm$ 1.72
semi_supervised,entropy,20,0.27213333333333334,0.04694297959581743,3,0.27213333333333334,0.04694297959581743,3,0.027102541906208307,0.027102541906208307,0.05312098213616828,0.05312098213616828,27.21 $\pm$ 4.69,27.21 $\pm$ 4.69
semi_supervised,kcenter,20,0.3592,0.0,3,0.3592,0.0,3,0.0,0.0,0.0,0.0,35.92 $\pm$ 0.00,35.92 $\pm$ 0.00
semi_supervised,margin,20,0.42816666666666664,0.07434180071355101,3,0.42816666666666664,0.07434180071355101,3,0.04292125865401019,0.04292125865401019,0.08412566696185997,0.08412566696185997,42.82 $\pm$ 7.43,42.82 $\pm$ 7.43
semi_supervised,random,20,0.4402,0.08759914383143248,3,0.4402,0.08759914383143248,3,0.05057538927185829,0.05057538927185829,0.09912776297284225,0.09912776297284225,44.02 $\pm$ 8.76,44.02 $\pm$ 8.76
semi_supervised,tpcinv,20,0.10776666666666668,0.0005859465277082313,3,0.10776666666666668,0.0005859465277082313,3,0.0003382963855030739,0.0003382963855030739,0.0006630609155860248,0.0006630609155860248,10.78 $\pm$ 0.06,10.78 $\pm$ 0.06
semi_supervised,tpcnoclust,20,0.1077,0.0,3,0.1077,0.0,3,0.0,0.0,0.0,0.0,10.77 $\pm$ 0.00,10.77 $\pm$ 0.00
semi_supervised,tpcrand,20,0.4436,0.07292742968184195,3,0.4436,0.07292742968184195,3,0.04210467115811895,0.04210467115811895,0.08252515546991314,0.08252515546991314,44.36 $\pm$ 7.29,44.36 $\pm$ 7.29
semi_supervised,tpcrp,20,0.5641333333333334,0.019958039315857923,3,0.5641333333333334,0.019958039315857923,3,0.011522779371507707,0.011522779371507707,0.022584647568155106,0.022584647568155106,56.41 $\pm$ 2.00,56.41 $\pm$ 2.00
semi_supervised,tpcrp_ccfl,20,0.6041,0.0030265491900842998,3,0.6041,0.0030265491900842998,3,0.0017473789896108145,0.0017473789896108145,0.003424862819637196,0.003424862819637196,60.41 $\pm$ 0.30,60.41 $\pm$ 0.30
semi_supervised,uncertainty,20,0.42816666666666664,0.07434180071355101,3,0.42816666666666664,0.07434180071355101,3,0.04292125865401019,0.04292125865401019,0.08412566696185997,0.08412566696185997,42.82 $\pm$ 7.43,42.82 $\pm$ 7.43
semi_supervised,badge,50,0.6765,0.023257901883016015,3,0.6765,0.023257901883016015,3,0.0134279559129452,0.0134279559129452,0.026318793589372592,0.026318793589372592,67.65 $\pm$ 2.33,67.65 $\pm$ 2.33
semi_supervised,bald,50,0.5273,0.06639073730574163,3,0.5273,0.06639073730574163,3,0.038330710055167666,0.038330710055167666,0.07512819170812862,0.07512819170812862,52.73 $\pm$ 6.64,52.73 $\pm$ 6.64
semi_supervised,dbal,50,0.6665666666666666,0.008700766249781233,3,0.6665666666666666,0.008700766249781233,3,0.005023389736467205,0.005023389736467205,0.009845843883475723,0.009845843883475723,66.66 $\pm$ 0.87,66.66 $\pm$ 0.87
semi_supervised,entropy,50,0.47546666666666665,0.02595232809081554,3,0.47546666666666665,0.02595232809081554,3,0.014983583609329838,0.014983583609329838,0.02936782387428648,0.02936782387428648,47.55 $\pm$ 2.60,47.55 $\pm$ 2.60
semi_supervised,kcenter,50,0.7054,0.0,3,0.7054,0.0,3,0.0,0.0,0.0,0.0,70.54 $\pm$ 0.00,70.54 $\pm$ 0.00
semi_supervised,margin,50,0.6281333333333333,0.018314293143152822,3,0.6281333333333333,0.018314293143152822,3,0.010573762076217,0.010573762076217,0.02072457366938532,0.02072457366938532,62.81 $\pm$ 1.83,62.81 $\pm$ 1.83
semi_supervised,random,50,0.5727333333333333,0.032442924241401744,3,0.5727333333333333,0.032442924241401744,3,0.018730931044071933,0.018730931044071933,0.036712624846380985,0.036712624846380985,57.27 $\pm$ 3.24,57.27 $\pm$ 3.24
semi_supervised,tpcinv,50,0.1196,0.008920201791439467,3,0.1196,0.008920201791439467,3,0.005150080905513358,0.005150080905513358,0.010094158574806182,0.010094158574806182,11.96 $\pm$ 0.89,11.96 $\pm$ 0.89
semi_supervised,tpcnoclust,50,0.1282,0.0,3,0.1282,0.0,3,0.0,0.0,0.0,0.0,12.82 $\pm$ 0.00,12.82 $\pm$ 0.00
semi_supervised,tpcrand,50,0.6187333333333332,0.010636885509082624,3,0.6187333333333332,0.010636885509082624,3,0.006141208712008082,0.006141208712008082,0.01203676907553584,0.01203676907553584,61.87 $\pm$ 1.06,61.87 $\pm$ 1.06
semi_supervised,tpcrp,50,0.7658999999999999,0.0061587336360651255,3,0.7658999999999999,0.0061587336360651255,3,0.003555746522649403,0.003555746522649403,0.00696926318439283,0.00696926318439283,76.59 $\pm$ 0.62,76.59 $\pm$ 0.62
semi_supervised,tpcrp_ccfl,50,0.7704,0.0018027756377320655,3,0.7704,0.0018027756377320655,3,0.0010408329997331073,0.0010408329997331073,0.0020400326794768903,0.0020400326794768903,77.04 $\pm$ 0.18,77.04 $\pm$ 0.18
semi_supervised,uncertainty,50,0.6382666666666666,0.03517404346010477,3,0.6382666666666666,0.03517404346010477,3,0.020307743460179085,0.020307743460179085,0.039803177181951005,0.039803177181951005,63.83 $\pm$ 3.52,63.83 $\pm$ 3.52
semi_supervised,badge,100,0.7159,0.0029308701779505305,3,0.7159,0.0029308701779505305,3,0.0016921386861995854,0.0016921386861995854,0.0033165918249511875,0.0033165918249511875,71.59 $\pm$ 0.29,71.59 $\pm$ 0.29
semi_supervised,bald,100,0.6821333333333333,0.011101501399960884,3,0.6821333333333333,0.011101501399960884,3,0.006409454821676424,0.006409454821676424,0.012562531450485791,0.012562531450485791,68.21 $\pm$ 1.11,68.21 $\pm$ 1.11
semi_supervised,dbal,100,0.7229000000000001,0.006763874629234377,3,0.7229000000000001,0.006763874629234377,3,0.003905124837953348,0.003905124837953348,0.007654044682388562,0.007654044682388562,72.29 $\pm$ 0.68,72.29 $\pm$ 0.68
semi_supervised,entropy,100,0.5936333333333333,0.021113344911058835,3,0.5936333333333333,0.021113344911058835,3,0.012189795367893235,0.012189795367893235,0.023891998921070738,0.023891998921070738,59.36 $\pm$ 2.11,59.36 $\pm$ 2.11
